"Designator","Mid X","Mid Y","Layer","Rotation"
"BT1","24.000000","-24.000000","Top","0.000000"
"BZ1","48.000000","-31.000000","Top","0.000000"
"C1","43.000000","-20.500000","Top","90.000000"
"C2","49.000000","-20.500000","Top","90.000000"
"C3","35.000000","-36.000000","Top","90.000000"
"D1","36.000000","-12.000000","Top","0.000000"
"D2","58.000000","-37.000000","Top","90.000000"
"Q1","62.000000","-34.500000","Top","0.000000"
"R1","33.000000","-12.000000","Top","0.000000"
"R2","62.000000","-24.000000","Top","0.000000"
"R3","62.000000","-27.000000","Top","0.000000"
"S1","6.000000","-7.000000","Top","0.000000"
"U1","54.500000","-10.500000","Top","0.000000"
